"time","Out1","Out2","Out3","Out4"
0.139,0.350495,0.129772,0.0706493,0
0.14,0.352578,0.130642,0.0714658,0
0.141,0.354656,0.131511,0.0722845,0
0.142,0.356728,0.132379,0.0731055,0
0.143,0.358794,0.133246,0.0739286,0
0.144,0.360855,0.134112,0.0747539,0
0.145,0.36291,0.134978,0.0755813,0
0.146,0.364959,0.135842,0.0764109,0
0.147,0.367003,0.136706,0.0772425,0
0.148,0.369042,0.137569,0.0780762,0
0.149,0.371075,0.138431,0.0789119,0
0.15,0.373102,0.139292,0.0797496,0
0.151,0.375124,0.140152,0.0805893,0
0.152,0.37714,0.141012,0.081431,0
0.153,0.379151,0.14187,0.0822746,0
0.154,0.381157,0.142728,0.0831201,0
0.155,0.383156,0.143585,0.0839675,0
0.156,0.385151,0.144441,0.0848168,0
0.157,0.38714,0.145296,0.0856679,0
0.158,0.389123,0.14615,0.0865209,0
0.159,0.391101,0.147004,0.0873756,0
0.16,0.393074,0.147856,0.0882322,0
0.161,0.395041,0.148708,0.0890905,0
0.162,0.397003,0.149559,0.0899505,0
0.163,0.39896,0.150409,0.0908123,0
0.164,0.400911,0.151258,0.0916757,0
0.165,0.402857,0.152106,0.0925408,0
0.166,0.404797,0.152954,0.0934076,0
0.167,0.406732,0.1538,0.094276,0
0.168,0.408662,0.154646,0.095146,0
0.169,0.410587,0.155491,0.0960177,0
0.17,0.412506,0.156335,0.0968909,0
0.171,0.41442,0.157178,0.0977656,0
0.172,0.416328,0.158021,0.0986419,0
0.173,0.418232,0.158862,0.0995197,0
0.174,0.42013,0.159703,0.100399,0
0.175,0.422023,0.160543,0.10128,0
0.176,0.42391,0.161382,0.102162,0
0.177,0.425793,0.16222,0.103046,0
0.178,0.42767,0.163058,0.103931,0
0.179,0.429542,0.163894,0.104817,0
0.18,0.431409,0.16473,0.105705,0
0.181,0.433271,0.165565,0.106594,0
0.182,0.435127,0.166399,0.107485,0
0.183,0.436979,0.167232,0.108377,0
0.184,0.438825,0.168064,0.10927,0
0.185,0.440666,0.168896,0.110165,0
0.186,0.442502,0.169726,0.111061,0
0.187,0.444333,0.170556,0.111958,0
0.188,0.446159,0.171385,0.112856,0
0.189,0.44798,0.172213,0.113756,0
0.19,0.449796,0.173041,0.114657,0
0.191,0.451607,0.173867,0.115559,0
0.192,0.453412,0.174693,0.116462,0
0.193,0.455213,0.175518,0.117367,0
0.194,0.457008,0.176342,0.118272,0
0.195,0.458799,0.177165,0.119179,0
0.196,0.460585,0.177988,0.120087,0
0.197,0.462365,0.178809,0.120996,0
0.198,0.464141,0.17963,0.121906,0
0.199,0.465911,0.18045,0.122818,0
0.2,0.467677,0.181269,0.12373,0
0.201,0.469438,0.182088,0.124644,0
0.202,0.471194,0.182905,0.125558,0
0.203,0.472945,0.183722,0.126474,0
0.204,0.474691,0.184538,0.12739,0
0.205,0.476432,0.185353,0.128308,0
0.206,0.478168,0.186167,0.129227,0
0.207,0.479899,0.18698,0.130146,0
0.208,0.481626,0.187793,0.131067,0
0.209,0.483348,0.188605,0.131988,0
0.21,0.485064,0.189416,0.132911,0
0.211,0.486776,0.190226,0.133834,0
0.212,0.488483,0.191035,0.134759,0
0.213,0.490186,0.191844,0.135684,0
0.214,0.491883,0.192652,0.136611,0
0.215,0.493576,0.193459,0.137538,0
0.216,0.495264,0.194265,0.138466,0
0.217,0.496947,0.19507,0.139395,0
0.218,0.498626,0.195875,0.140325,0
0.219,0.500299,0.196678,0.141255,0
0.22,0.501968,0.197481,0.142187,0
0.221,0.503632,0.198283,0.143119,0
0.222,0.505292,0.199085,0.144052,0
0.223,0.506947,0.199885,0.144986,0
0.224,0.508597,0.200685,0.145921,0
0.225,0.510242,0.201484,0.146857,0
0.226,0.511883,0.202282,0.147793,0
0.227,0.513519,0.203079,0.14873,0
0.228,0.51515,0.203876,0.149668,0
0.229,0.516777,0.204671,0.150607,0
0.23,0.518399,0.205466,0.151547,0
0.231,0.520017,0.206261,0.152487,0
0.232,0.52163,0.207054,0.153428,0
0.233,0.523238,0.207846,0.154369,0
0.234,0.524842,0.208638,0.155312,0
0.235,0.526441,0.209429,0.156255,0
0.236,0.528035,0.210219,0.157199,0
0.237,0.529625,0.211009,0.158143,0
0.238,0.531211,0.211797,0.159088,0
0.239,0.532791,0.212585,0.160034,0
0.24,0.534368,0.213372,0.160981,0
0.241,0.53594,0.214158,0.161928,0
0.242,0.537507,0.214944,0.162876,0
0.243,0.53907,0.215728,0.163824,0
0.244,0.540628,0.216512,0.164773,0
0.245,0.542182,0.217295,0.165723,0
0.246,0.543731,0.218078,0.166673,0
0.247,0.545276,0.218859,0.167624,0
0.248,0.546816,0.21964,0.168575,0
0.249,0.548352,0.22042,0.169528,0
0.25,0.549884,0.221199,0.17048,0
0.251,0.551411,0.221978,0.171434,0
0.252,0.552934,0.222755,0.172387,0
0.253,0.554452,0.223532,0.173342,0
0.254,0.555966,0.224308,0.174297,0
0.255,0.557475,0.225084,0.175252,0
0.256,0.55898,0.225858,0.176208,0
0.257,0.560481,0.226632,0.177165,0
0.258,0.561978,0.227405,0.178122,0
0.259,0.56347,0.228177,0.17908,0
0.26,0.564957,0.228948,0.180038,0
0.261,0.566441,0.229719,0.180997,0
0.262,0.56792,0.230489,0.181956,0
0.263,0.569394,0.231258,0.182916,0
0.264,0.570865,0.232026,0.183876,0
0.265,0.572331,0.232794,0.184836,0
0.266,0.573793,0.233561,0.185798,0
0.267,0.57525,0.234327,0.186759,0
